Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.06557e+07;1.65942e+07;1.65183e+07;1.86671e+07
200;2.49211e+07;2.0024e+07;2.00397e+07;2.07807e+07
300;2.48178e+07;1.98976e+07;1.98632e+07;1.73601e+07
400;2.45304e+07;1.98794e+07;1.98652e+07;1.82329e+07
500;2.46441e+07;1.9855e+07;1.99365e+07;1.63586e+07
600;2.4539e+07;2.0064e+07;2.00244e+07;2.14554e+07
700;2.42366e+07;1.95462e+07;1.95765e+07;2.5243e+07
800;2.50552e+07;2.0066e+07;2.01567e+07;2.47667e+07
900;2.45821e+07;1.9913e+07;1.9902e+07;1.88579e+07
1000;2.45081e+07;1.96779e+07;1.94189e+07;1.83957e+07
1100;2.51402e+07;1.99459e+07;2.00382e+07;1.96997e+07
1200;2.46062e+07;1.98186e+07;1.97412e+07;2.00608e+07
1300;2.00093e+07;1.64349e+07;1.64018e+07;1.36738e+07
1400;2.45455e+07;1.99255e+07;1.99431e+07;1.85568e+07
1500;2.4764e+07;1.99369e+07;1.99352e+07;1.98143e+07
1600;2.46091e+07;2.00074e+07;2.00812e+07;1.67097e+07
1700;2.45864e+07;1.98626e+07;1.98667e+07;1.70055e+07
1800;2.45136e+07;1.99012e+07;1.98535e+07;2.00563e+07
1900;2.45543e+07;1.99156e+07;1.99741e+07;1.88362e+07
2000;2.4479e+07;1.98767e+07;1.97024e+07;1.46695e+07
2100;2.45119e+07;1.99374e+07;1.99763e+07;1.91356e+07
2200;2.45706e+07;1.99025e+07;1.99776e+07;1.74218e+07
2300;2.45763e+07;2.00379e+07;1.99682e+07;1.66029e+07
2400;2.45831e+07;1.99594e+07;2.00842e+07;2.07188e+07
2500;2.45886e+07;2.00672e+07;2.00431e+07;1.68017e+07
2600;2.47534e+07;2.00225e+07;1.98858e+07;1.94305e+07
2700;2.45699e+07;1.99163e+07;2.00532e+07;2.31404e+07
2800;2.45231e+07;1.99413e+07;2.00183e+07;1.61548e+07
2900;2.47744e+07;2.01001e+07;2.01217e+07;1.80718e+07
3000;2.45449e+07;1.99847e+07;2.01284e+07;1.96082e+07
