Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.11073e+07;9.15966e+06;9.00071e+06;9.14296e+06
200;1.10835e+07;9.11143e+06;9.18251e+06;8.74745e+06
300;1.10922e+07;9.27524e+06;9.26765e+06;9.28341e+06
400;1.11172e+07;9.12997e+06;9.0031e+06;8.43195e+06
500;1.11657e+07;9.24522e+06;9.2324e+06;6.91351e+06
600;1.11091e+07;9.2739e+06;9.3386e+06;8.37296e+06
700;1.11277e+07;9.24201e+06;9.20979e+06;8.23221e+06
800;1.1118e+07;9.25143e+06;9.23996e+06;9.24556e+06
900;1.11436e+07;9.24311e+06;9.13799e+06;8.02223e+06
1000;1.10983e+07;9.29847e+06;9.41138e+06;8.19776e+06
1100;1.11012e+07;9.31006e+06;9.34646e+06;1.09599e+07
1200;1.11133e+07;9.2982e+06;9.33704e+06;9.55318e+06
1300;1.11507e+07;9.32089e+06;9.34701e+06;9.37672e+06
1400;1.10741e+07;9.39808e+06;9.41104e+06;9.10002e+06
1500;1.10579e+07;9.24069e+06;9.34855e+06;9.40075e+06
1600;1.10741e+07;9.34346e+06;9.37895e+06;8.91691e+06
1700;1.11075e+07;9.36303e+06;9.37444e+06;8.30414e+06
1800;1.10295e+07;9.30081e+06;9.25125e+06;9.78044e+06
1900;1.11011e+07;9.35614e+06;9.45789e+06;6.89043e+06
2000;1.10575e+07;9.30025e+06;9.33985e+06;7.68768e+06
2100;1.10944e+07;9.37413e+06;9.40618e+06;6.90961e+06
2200;1.1054e+07;9.26138e+06;9.16103e+06;1.06686e+07
2300;1.1042e+07;9.36664e+06;9.52035e+06;1.00401e+07
2400;1.10383e+07;9.3505e+06;9.42304e+06;7.89248e+06
2500;1.10639e+07;9.30696e+06;9.35768e+06;1.13572e+07
2600;1.11154e+07;9.38915e+06;9.38528e+06;9.12021e+06
2700;1.10472e+07;9.33641e+06;9.3312e+06;8.2183e+06
2800;1.10623e+07;9.34883e+06;9.46361e+06;8.56325e+06
2900;1.10242e+07;9.32371e+06;9.39016e+06;8.40206e+06
3000;1.11226e+07;9.45239e+06;9.48627e+06;9.1972e+06
