Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;3.41582e+07;2.5e+07;2.47893e+07;4.21339e+07
200;3.58674e+07;2.54924e+07;2.44906e+07;3.79299e+07
300;3.50722e+07;2.55781e+07;2.40787e+07;4.4052e+07
400;3.5753e+07;2.60732e+07;2.58466e+07;4.12422e+07
500;3.53134e+07;2.56355e+07;2.4966e+07;4.39693e+07
600;3.51283e+07;2.53362e+07;2.48202e+07;4.16224e+07
700;3.56746e+07;2.58685e+07;2.55196e+07;4.11564e+07
800;3.51142e+07;2.55742e+07;2.48522e+07;4.30913e+07
900;3.53012e+07;2.63428e+07;2.57789e+07;3.40387e+07
1000;3.51093e+07;2.54947e+07;2.45968e+07;3.75143e+07
1100;3.52954e+07;2.57458e+07;2.4949e+07;3.80565e+07
1200;3.51169e+07;2.54781e+07;2.44113e+07;4.0937e+07
1300;3.49565e+07;2.56302e+07;2.39471e+07;3.41063e+07
1400;3.50131e+07;2.54163e+07;2.40917e+07;3.65458e+07
1500;3.55497e+07;2.54338e+07;2.46582e+07;3.63414e+07
1600;3.5107e+07;2.56307e+07;2.48299e+07;4.18588e+07
1700;3.52307e+07;2.58554e+07;2.56003e+07;3.88278e+07
1800;3.54329e+07;2.55201e+07;2.48254e+07;4.05952e+07
1900;3.50588e+07;2.57419e+07;2.47124e+07;3.50409e+07
2000;3.51739e+07;2.55904e+07;2.48477e+07;4.10493e+07
2100;3.73688e+07;2.64869e+07;2.56284e+07;3.48675e+07
2200;3.5019e+07;2.61622e+07;2.47343e+07;3.66845e+07
2300;3.52023e+07;2.60113e+07;2.57302e+07;4.31316e+07
2400;3.51015e+07;2.57291e+07;2.49919e+07;3.97675e+07
2500;3.51249e+07;2.59201e+07;2.52207e+07;3.43731e+07
2600;3.49722e+07;2.59754e+07;2.5071e+07;3.82838e+07
2700;3.54503e+07;2.67847e+07;2.70475e+07;4.88395e+07
2800;3.53204e+07;2.58527e+07;2.48946e+07;4.22092e+07
2900;3.50301e+07;2.61641e+07;2.51524e+07;4.32750e+07
3000;3.49559e+07;2.57237e+07;2.52456e+07;4.08587e+07
