Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;698804;523763;621600;1.90821e+06
200;708638;522913;1.07259e+06;1.84144e+06
300;1.18643e+06;524513;524437;809208
400;1.19152e+06;516042;499258;1.03075e+06
500;674388;768392;1.08615e+06;1.12215e+06
600;670892;547388;1.02117e+06;669262
700;665233;849142;946312;860046
800;651925;544675;569750;1.51252e+06
900;666033;685392;678396;1.59832e+06
1000;1.32785e+06;566354;564050;1.03375e+06
1100;649225;546208;727042;1.18106e+06
1200;671350;716304;756417;1.31948e+06
1300;700037;715908;590421;1.04892e+06
1400;663938;587233;815100;1.90549e+06
1500;622733;589566;661042;840975
1600;640608;570642;913729;745921
1700;631646;610154;690912;1.19504e+06
1800;863216;634654;633175;1.32217e+06
1900;708863;588204;618092;1.05469e+06
2000;603579;1.04947e+06;683904;896646
2100;636309;754542;924358;1.23608e+06
2200;720413;629608;734262;1.07126e+06
2300;633092;647921;886875;1.52768e+06
2400;582554;648400;1.22806e+06;1.06673e+06
2500;1.04878e+06;741729;704379;1.99626e+06
2600;561829;622104;1.29546e+06;1.10291e+06
2700;568367;691233;715796;1.48113e+06
2800;563450;627000;767008;1.47397e+06
2900;548446;660225;721100;2.4456e+06
3000;577283;915396;747734;1.06375e+06
