Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.06397e+07;1.66342e+07;1.65311e+07;1.81127e+07
200;2.01555e+07;1.63775e+07;1.64482e+07;1.63764e+07
300;2.03624e+07;1.66187e+07;1.64748e+07;1.42142e+07
400;2.04736e+07;1.65673e+07;1.6542e+07;1.8295e+07
500;2.01065e+07;1.63195e+07;1.63667e+07;1.48417e+07
600;2.0329e+07;1.6485e+07;1.6396e+07;1.6401e+07
700;2.04248e+07;1.64448e+07;1.63979e+07;1.48388e+07
800;2.03147e+07;1.64586e+07;1.65468e+07;1.48703e+07
900;2.01712e+07;1.64983e+07;1.64381e+07;1.35656e+07
1000;2.01386e+07;1.64119e+07;1.64258e+07;1.61021e+07
1100;2.00579e+07;1.62436e+07;1.60558e+07;1.54715e+07
1200;2.03778e+07;1.65114e+07;1.64025e+07;1.71776e+07
1300;2.03241e+07;1.64674e+07;1.66519e+07;1.8395e+07
1400;2.01264e+07;1.6388e+07;1.62107e+07;1.36528e+07
1500;2.01013e+07;1.63848e+07;1.63882e+07;1.48771e+07
1600;2.00655e+07;1.63991e+07;1.6498e+07;1.75755e+07
1700;2.00962e+07;1.64706e+07;1.64267e+07;1.59188e+07
1800;2.01237e+07;1.63992e+07;1.64184e+07;1.40942e+07
1900;2.00148e+07;1.64844e+07;1.65685e+07;1.63234e+07
2000;2.00577e+07;1.65739e+07;1.64462e+07;1.33988e+07
2100;2.00769e+07;1.6386e+07;1.64397e+07;1.34466e+07
2200;1.99903e+07;1.64095e+07;1.65271e+07;1.30553e+07
2300;1.99819e+07;1.65034e+07;1.64581e+07;1.14262e+07
2400;2.01116e+07;1.64241e+07;1.64567e+07;1.98014e+07
2500;2.00239e+07;1.64612e+07;1.66094e+07;1.57657e+07
2600;2.00877e+07;1.65354e+07;1.6551e+07;1.26942e+07
2700;2.00622e+07;1.64851e+07;1.6602e+07;1.67562e+07
2800;2.00022e+07;1.65713e+07;1.65613e+07;1.631e+07
2900;2.00733e+07;1.65037e+07;1.6516e+07;1.61894e+07
3000;2.00054e+07;1.63248e+07;1.64818e+07;1.5555e+07
