Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.56357e+07;1.28729e+07;1.2813e+07;1.31817e+07
200;1.56779e+07;1.28247e+07;1.28246e+07;1.05867e+07
300;1.59528e+07;1.293e+07;1.29307e+07;1.21777e+07
400;1.56523e+07;1.2745e+07;1.27616e+07;1.40686e+07
500;1.56348e+07;1.27295e+07;1.27666e+07;1.21062e+07
600;1.56327e+07;1.28821e+07;1.28727e+07;8.7865e+06
700;1.56603e+07;1.28487e+07;1.2863e+07;1.29574e+07
800;1.55992e+07;1.27716e+07;1.27837e+07;1.28047e+07
900;1.63607e+07;1.27998e+07;1.28876e+07;1.24403e+07
1000;1.55532e+07;1.28939e+07;1.29824e+07;1.27628e+07
1100;1.55659e+07;1.28611e+07;1.29043e+07;1.53308e+07
1200;1.55305e+07;1.27826e+07;1.26169e+07;1.31241e+07
1300;1.55651e+07;1.29814e+07;1.28859e+07;1.13145e+07
1400;1.55334e+07;1.28924e+07;1.27973e+07;1.08919e+07
1500;1.55719e+07;1.29654e+07;1.28557e+07;1.16361e+07
1600;1.58726e+07;1.29684e+07;1.29593e+07;1.57055e+07
1700;1.56135e+07;1.2864e+07;1.29482e+07;1.15866e+07
1800;1.56365e+07;1.28504e+07;1.28834e+07;1.1442e+07
1900;1.56331e+07;1.28972e+07;1.29026e+07;1.00597e+07
2000;1.56168e+07;1.27207e+07;1.25685e+07;1.14149e+07
2100;1.58561e+07;1.29785e+07;1.30445e+07;1.26403e+07
2200;1.55652e+07;1.29553e+07;1.29864e+07;1.2892e+07
2300;1.55278e+07;1.28214e+07;1.27548e+07;1.13913e+07
2400;1.55469e+07;1.29752e+07;1.30765e+07;1.2916e+07
2500;1.5516e+07;1.28633e+07;1.30293e+07;9.81885e+06
2600;1.55246e+07;1.28713e+07;1.30085e+07;1.27758e+07
2700;1.55183e+07;1.28722e+07;1.30381e+07;1.34197e+07
2800;1.55368e+07;1.29326e+07;1.29478e+07;1.00889e+07
2900;1.55141e+07;1.28735e+07;1.28781e+07;1.14599e+07
3000;1.55027e+07;1.29178e+07;1.28716e+07;9.96098e+06
