Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;1.64618e+06;1.25075e+06;1.23624e+06;1.88419e+06
200;1.61771e+06;1.25079e+06;1.23788e+06;2.03381e+06
300;1.64213e+06;1.25065e+06;1.25447e+06;2.02687e+06
400;1.70518e+06;1.28124e+06;1.21126e+06;1.89915e+06
500;1.60772e+06;1.25756e+06;1.2651e+06;1.57275e+06
600;1.63392e+06;1.19097e+06;1.18786e+06;1.70716e+06
700;1.52607e+06;1.20781e+06;1.21035e+06;1.77193e+06
800;1.55798e+06;1.27937e+06;1.24379e+06;1.65659e+06
900;1.50999e+06;1.22913e+06;1.2203e+06;1.95806e+06
1000;1.50306e+06;1.21055e+06;1.2331e+06;1.95035e+06
1100;1.48548e+06;1.20158e+06;1.21964e+06;1.76889e+06
1200;1.49782e+06;1.24097e+06;1.28669e+06;1.95943e+06
1300;1.47193e+06;1.22068e+06;1.18618e+06;2.155e+06
1400;1.47024e+06;1.23762e+06;1.26435e+06;1.94147e+06
1500;1.46678e+06;1.19718e+06;1.19262e+06;1.96228e+06
1600;1.46408e+06;1.25941e+06;1.27115e+06;2.16226e+06
1700;1.46688e+06;1.21278e+06;1.2197e+06;1.96432e+06
1800;1.45782e+06;1.26798e+06;1.30208e+06;2.16192e+06
1900;1.4578e+06;1.26006e+06;1.29257e+06;1.8726e+06
2000;1.43803e+06;1.23385e+06;1.24463e+06;2.19865e+06
2100;1.43867e+06;1.2584e+06;1.28001e+06;1.84204e+06
2200;1.44742e+06;1.28248e+06;1.31545e+06;1.64363e+06
2300;1.42583e+06;1.27645e+06;1.2964e+06;1.40452e+06
2400;1.42019e+06;1.28896e+06;1.32013e+06;1.62106e+06
2500;1.41212e+06;1.27285e+06;1.29402e+06;2.16993e+06
2600;1.42383e+06;1.29571e+06;1.35817e+06;1.85361e+06
2700;1.40688e+06;1.31008e+06;1.34995e+06;2.00199e+06
2800;1.3943e+06;1.26771e+06;1.27686e+06;1.67775e+06
2900;1.40583e+06;1.36148e+06;1.37777e+06;1.45301e+06
3000;1.42142e+06;1.31818e+06;1.65965e+06;2.17963e+06
