Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;4.49076e+06;3.5663e+06;3.57608e+06;2.82563e+06
200;4.49869e+06;3.50699e+06;3.5353e+06;4.75904e+06
300;4.48642e+06;3.58635e+06;3.60785e+06;4.35737e+06
400;4.46276e+06;3.54479e+06;3.56743e+06;2.70146e+06
500;4.47364e+06;3.61614e+06;3.60551e+06;3.99677e+06
600;4.46652e+06;3.58155e+06;3.59818e+06;1.76752e+06
700;4.51355e+06;3.58255e+06;3.60468e+06;2.35693e+06
800;4.4385e+06;3.51905e+06;3.52645e+06;2.59833e+06
900;4.49696e+06;3.61827e+06;3.8779e+06;3.9767e+06
1000;4.44984e+06;3.60264e+06;3.64353e+06;3.4776e+06
1100;4.4528e+06;3.61612e+06;3.64541e+06;4.02078e+06
1200;4.49966e+06;3.63098e+06;3.68151e+06;2.52354e+06
1300;4.46282e+06;3.64445e+06;3.69375e+06;5.15904e+06
1400;4.43984e+06;3.6184e+06;3.64528e+06;2.87529e+06
1500;4.44618e+06;3.61339e+06;3.6688e+06;3.77127e+06
1600;4.46091e+06;3.6602e+06;3.68571e+06;2.41817e+06
1700;4.4397e+06;3.57343e+06;3.60557e+06;3.77141e+06
1800;4.42727e+06;3.64403e+06;3.69849e+06;3.34781e+06
1900;4.45353e+06;3.6556e+06;3.70205e+06;3.08718e+06
2000;4.42252e+06;3.58478e+06;3.62689e+06;2.25865e+06
2100;4.40007e+06;3.56227e+06;3.50959e+06;4.85113e+06
2200;4.43799e+06;3.59492e+06;3.63526e+06;3.34783e+06
2300;4.43181e+06;3.67608e+06;3.71721e+06;3.15659e+06
2400;4.40458e+06;3.66864e+06;3.73188e+06;4.86167e+06
2500;4.425e+06;3.72681e+06;3.77958e+06;2.86451e+06
2600;4.4241e+06;3.68336e+06;3.70193e+06;3.18412e+06
2700;4.41087e+06;3.6282e+06;3.69115e+06;4.88592e+06
2800;4.4003e+06;3.69615e+06;3.81261e+06;2.74799e+06
2900;4.43026e+06;3.70307e+06;3.79059e+06;3.85121e+06
3000;4.41423e+06;3.71393e+06;3.78763e+06;4.88502e+06
