Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.27826e+07;1.65903e+07;1.64529e+07;1.63715e+07
200;2.23075e+07;1.61961e+07;1.58678e+07;2.97008e+07
300;2.22244e+07;1.65918e+07;1.62127e+07;2.58755e+07
400;2.20471e+07;1.65347e+07;1.62509e+07;2.731e+07
500;2.19362e+07;1.61755e+07;1.56313e+07;2.58949e+07
600;2.21062e+07;1.62186e+07;1.59868e+07;2.27531e+07
700;2.1953e+07;1.6586e+07;1.62986e+07;2.93921e+07
800;2.20939e+07;1.63511e+07;1.63379e+07;2.34395e+07
900;2.18805e+07;1.62514e+07;1.57592e+07;2.94017e+07
1000;2.19618e+07;1.67916e+07;1.79102e+07;2.94847e+07
1100;2.20828e+07;1.66381e+07;1.63428e+07;2.93531e+07
1200;1.5692e+07;1.16042e+07;1.1243e+07;2.05728e+07
1300;2.1983e+07;1.65426e+07;1.63257e+07;2.0286e+07
1400;2.20274e+07;1.63197e+07;1.61095e+07;2.94123e+07
1500;2.20133e+07;1.66625e+07;1.62393e+07;2.93475e+07
1600;2.20207e+07;1.67516e+07;1.63339e+07;2.27792e+07
1700;2.19106e+07;1.64454e+07;1.59617e+07;2.7173e+07
1800;2.20044e+07;1.65816e+07;1.63479e+07;2.3693e+07
1900;2.17078e+07;1.61166e+07;1.53136e+07;2.58881e+07
2000;2.18657e+07;1.6192e+07;1.57693e+07;2.24348e+07
2100;1.99729e+07;1.54702e+07;1.53235e+07;3.01521e+07
2200;2.19549e+07;1.65445e+07;1.65684e+07;2.50962e+07
2300;2.19378e+07;1.65651e+07;1.58818e+07;2.94179e+07
2400;2.18542e+07;1.66826e+07;1.62947e+07;2.72722e+07
2500;2.19766e+07;1.62522e+07;1.60229e+07;1.87765e+07
2600;2.22091e+07;1.63859e+07;1.58159e+07;2.63164e+07
2700;2.18516e+07;1.62938e+07;1.59110e+07;2.7252e+07
2800;2.19219e+07;1.665e+07;1.62939e+07;2.72193e+07
2900;2.19647e+07;1.65482e+07;1.65202e+07;2.58416e+07
3000;2.18238e+07;1.63286e+07;1.59301e+07;2.72327e+07
